Address,opAirdropScore,TokenBalanceGIV,TokenBalanceOP,EthDeposits,OptimismBridges,OpTreasuryPayouts,IsOptimismDelegate,InteractedWithContracts,CreatedGnosisSafe,OwnsGnosisSafe,ExecutedGnosisTx,IsGitcoinProjectOwner,GitcoinPassportScore,RegenPOAPs,OptimismTxCount,TotalScore
0x5e349eca2dc61abcd9dd99ce94d04136151a09ee,150,0,10,0,10,10,10,10,0,0,0,0,0,0,10,220
0x429f9ada43e9f345cbb85ec88681bb70df808892,50,0,0,0,10,10,10,10,0,0,0,0,0,0,10,100
0x406b607644c5d7bfda95963201e45a4c6ab1c159,0,0,10,0,0,10,10,10,0,0,0,0,0,0,10,50
0xa6e8772af29b29b9202a073f8e36f447689beef6,100,0,0,0,0,10,10,10,0,0,0,0,0,0,10,140
0x2b888954421b424c5d3d9ce9bb67c9bd47537d12,150,10,10,0,0,10,10,10,0,0,0,10,0,10,10,240
0x80fc5137886375e7e5c9fbaaf3f1bfcf86bce482,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,30
0xe93d59cc0bcecfd4ac204827ef67c5266079e2b5,0,0,10,0,0,0,10,10,0,0,0,0,0,0,10,40
0x8ccde64d05a7677d80a5960cb75fb8de486cf98d,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,30
0x2b7839e74e8a9145e594810508006b3e856088f8,0,0,10,0,0,0,10,10,0,0,0,0,0,0,10,40
0xb1ea5a3e5ea7fa1834d48058ecda26d8c59e8251,150,0,0,0,0,10,10,10,0,0,0,0,0,0,10,200
0xf4b0556b9b6f53e00a1fdd2b0478ce841991d8fa,50,0,10,0,0,10,10,10,0,10,10,0,0,0,10,120
0x46abfe1c972fca43766d6ad70e1c1df72f4bb4d1,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,30
0x1b686ee8e31c5959d9f5bbd8122a58682788eead,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,30
0x48a63097e1ac123b1f5a8bbffafa4afa8192fab0,150,0,10,0,0,10,10,10,0,0,0,0,0,0,10,210
0x75536cf4f01c2bfa528f5c74ddc1232db3af3ee5,150,0,0,0,10,10,10,10,0,0,0,0,0,0,10,200
0x8f5415415d9200ccd8523f3ee88f96f476141cc3,0,0,10,0,0,0,10,10,0,0,0,0,0,0,10,40
0x8f07bc36ff569312fdc41f3867d80bbd2fe94b76,150,0,10,0,0,10,10,10,0,0,0,0,0,10,10,210
0x070341aa5ed571f0fb2c4a5641409b1a46b4961b,150,0,0,0,0,10,10,10,0,0,0,0,0,0,10,190
0x3471884f189fd7c63fe8c83601d28ce0cc1b3853,150,0,10,0,10,10,10,10,0,0,0,0,0,0,10,210
0xd1c5980984bdbb0061b842fa81b3d38859850c39,0,0,10,0,0,0,10,10,0,0,0,0,0,0,10,40
0x839395e20bbb182fa440d08f850e6c7a8f6f0780,150,10,10,0,10,10,10,10,0,10,10,10,0,10,10,280
0x8f73be66ca8c79382f72139be03746343bf5faa0,150,0,10,0,10,10,10,10,0,0,0,10,0,0,10,230
0xb074ec6c37659525eef2fb44478077901f878012,0,0,10,0,0,10,10,10,0,0,0,0,0,0,10,50
0xdb5781a835b60110298ff7205d8ef9678ff1f800,0,0,0,0,0,0,10,10,0,0,0,10,0,0,10,40
0x3d2d722b443a5cae8e41877bb7cd649f3650937c,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,30
0x45a10f35befa4ab841c77860204b133118b7ccae,150,0,0,0,10,10,10,10,10,10,10,0,0,0,10,220
0x6cea573473348367a5f66e0f261bfa25799e6a60,150,0,0,0,10,10,10,10,0,0,0,0,0,0,10,200
0x1dd174bf2e090d0f1b1360ac8905780429b2642b,0,0,10,0,0,10,10,10,0,0,0,0,0,0,10,50
0x13838884271ec954cb036d0b29d404afab5eae2a,0,0,0,0,0,10,10,10,0,0,0,0,0,0,10,40
0x9e5b45e4872de2ee4b6ffbd06b3735501826b032,150,0,10,0,0,10,10,10,0,0,0,0,0,0,10,200
0xc94ae9860b37170c08e51f453f8124a86cd7c0cd,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,30
0x7ae109a63ff4dc852e063a673b40bed85d22e585,0,0,10,0,0,0,10,0,0,0,0,0,0,0,0,20
0x62a43123fe71f9764f26554b3f5017627996816a,150,0,0,0,0,10,10,10,0,0,0,0,0,0,10,190
0x9cbe5b896d0c24acf41860b9e3df6750c2040a40,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10
0xc70abe97baf38782fa479b23311b611d0e82076b,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,30
0x38e77e487518851f47e8470433d69f3119304d7c,0,0,0,0,0,0,10,10,0,10,10,0,0,0,10,50
0xaa31cb426e2c83cda9c850874d166d7fca836b14,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,30
0x2a185c8a3c63d7bfe63ad5d950244ffe9d0a4b60,0,0,10,0,0,10,10,10,0,0,0,0,0,0,10,50
0xc420c9d507d0e038bd76383aaadcad576ed0073c,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10
0xc420c9d507d0e038bd76383aaadcad576ed0073c,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,10
0xa3ebc4a674ac613f797b45b4bdc1c1ddab13836a,0,0,0,0,0,0,10,10,0,0,0,0,0,0,10,30
