Address,opAirdropScore,TokenBalanceGIV,TokenBalanceOP,GRDonations,EthDeposits,OptimismBridges,OpTreasuryPayouts,IsOptimismDelegate,InteractedWithContracts,CreatedGnosisSafe,OwnsGnosisSafe,ExecutedGnosisTx,isPartOfOPTreasury,IsGitcoinProjectOwner,GitcoinPassportScore,RegenPOAPs,OptimismTxCount,TrustedSeedMember,GivethActivity,TotalScore
0xf55e4d10AF7CfE7FC822285b9B25e7af883380c6,false,false,0.23,0,false,0,0,0,1,false,false,false,false,false,false,false,12,false,false,310
0x214a33Ad7cF5010Fc8CEE8D501B0CA20C12FdF9e,false,false,281.76,28,false,0,2,1,1,false,false,false,false,false,16.06,false,376,false,1,2210
0x762cB991fa0A274999EbA2150778C0EFD45f6E4A,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,2,false,false,300
0x4156EDbAFC5091507dE2dD2a53dEd551a346f83b,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,36358,false,false,300
0xDbd300Eba0F755Bb06DA769A4E1A84E4330068AF,false,false,57.02,5,false,1,1,1,1,false,false,false,false,false,false,false,707,false,false,1620
0xE42aCe1D1e686e9245F74795DA3433aec452Fd75,false,false,2.19,0,false,3,1,0,1,false,false,false,false,false,false,false,528,false,false,1010
0xD8d73969CaEDdb6b313c43168544eC802b65dB37,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,24,false,false,800
0xEbe80f029b1c02862B9E8a70a7e5317C06F62Cae,false,false,35581098.28,0,false,0,1,0,1,false,false,false,false,false,false,false,508556,false,false,710
0x2D2cC0eB095e43204E0C087E07Dbf95909650939,false,false,263.34,0,false,0,1,0,false,false,false,false,false,false,false,false,609622,false,false,510
0xbBF18E915C4E95c4140445edF9F6a53Dd84E0173,false,false,false,0,false,0,0,0,1,false,false,false,false,false,false,false,27,false,false,300
0xFC0d511Ccd6Dc4c28fD132FFD6e69648555720Db,false,false,1023.00,10,false,0,1,0,1,false,false,false,false,false,false,false,263,false,false,810
0xA836F92B001C435C9e5D464c8adbE69DDA9930Bc,false,false,false,0,false,0,0,0,false,false,false,false,false,false,false,false,2,false,false,100
