ETH Addresses,TRUST Score On Chain,TRUST Score Off Chain
0x839395e20bbB182fa440d08F850E6c7A8f6F0780,"150,048",
0x778549Eb292AC98A96a05E122967f22eFA003707,"42,249",
0x5b7575494b1e28974efe6EA71EC569b34958F72e,"115,438",
0xCF52f1402e73418BC5E6AccBD246EE8Dfb055605,"35,129",
0xe32BF4B7b9cB091b04e8500344a578d56b8f2593,"44,774",
0xDF290293C4A4d6eBe38Fd7085d7721041f927E0a,"31,937",
0x1DBA1131000664b884A1Ba238464159892252D3a,"31,908",
0x7d547666209755FB833f9B37EebEa38eBF513Abb,"37,264",
0xb2821C0DF0c414ff51D3e8033CBA26DF6AaC587b,,"28,498"
0x852B8763ECB27bEdDC190d1792029bc17FD5439a,"29,195",
0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,"44,454",
0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6,"41,220",
0xB22981bA3FE1De2325935c91a3B717168fB86714,"31,238",
0xeC952ED8e7c2AA466cac36fD611D2E87Df1243D7,"10,844",
0xb760FE1bbC4A2752aBCBb28291a57Cb0cA99fF44,"40,156",
0xF27838B0c3bA2eEe13B6eD3Fe13a90ef7b57a2cc,"25,083",
0x625236038836CecC532664915BD0399647E7826b,,"24,344"
0xf83775C95A00612D4CAc5053Dd484FfA81BaE0aD,,"23,908"
0x763d7D362B59aeA3858a92a302e18cd41b1252d4,"22,333",
0x45602BFBA960277bF917C1b2007D1f03d7bd29e4,"67,834",
0xa2ef65aEcecb83cd1bD3579A8669779099317952,,"23,722"
0xf503017D7baF7FBC0fff7492b751025c6A78179b,"28,608",
0x5c44E8982fa3C3239C6E3C5be2cc6663c7C9387E,Pending to mint,"3,657 "
0x62e4851e88bEC4f5c5EE3Dd347F2C601A18AF1aF,"9,284",
0x1d921dff757610FbDB0073479e12c0a07d382677,"19,230",
0xB3e43abf014cb2d8cF8dc3D8C2e62157E6093343,,"14,169"
0x00d18ca9782bE1CaEF611017c2Fbc1a39779A57C,"11,793",
0x9f2942fF27e40445d3CB2aAD90F84C3a03574F26,,"13,028"
0x701d0ECB3BA780De7b2b36789aEC4493A426010a,"9,776",
0xe5Ac570506fF6289146CC43626D6Af540Aa67241,,"12,005"
0x05A1ff0a32bc24265BCB39499d0c5D9A6cb2011c,"4,139",
0x56477ece3C6C96A2d2F11B7Eed0D757b10AFB6a6,"11,125",
0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1,"23,786",
0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737,"38,748",
0x8aA27E90E139d5AB5704df69429341cbCb2d2464,,"14,521"
0x37Ec0203C1Cc3CB574c4144d490F770b86e3b557,,"10,612"
0x9194b1713A8E07Bc47B90Fb7937E28e09b6cd100,"16,532",
0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,,"14,062"
0x536c7E8F18D09d04697E0d2624b44bBA575388c2,"15,411",
0xAa01DeC5307CF17F20881A3286dcaA062578cea7,"10,499",
0x99272DB5353e13c18b711D99d3a8F36ba459f747,,"8,807"
0xC46c67Bb7E84490D7EbdD0b8ecDaca68Cf3823F4,"20,613",
0x85eD40DbCa94B5BC73c6C7EC7f4eCaaD04A03a22,,"8,594"
0x45e036dA221032D814A8bF0EF46943f83E95b409,"3,559",
0x5D28FE1e9F895464aab52287d85Ebff32B351674,"8,294",
0x7944FC7Bd79B25E6fFe24921d88A1f36f22bE843,"8,187",
0xc7b2f15b62F186DCc69F35CD9Ae833f6de6146ab,"2,773",
0x27c72e4BD23C910218d8f06C4a1742E06657c874,,"7,422"
0x44DdF3e35Cd2D629d78674FF6BF5b953e2B069fe,,"6,754"
0xA0f780d46F103DB59Cfc5ffeC8B25FfD36940EA7,,"6,708"
0x8Aac40061E258d6e45Fd13E214710ABDF356285a,,"6,951"
0x01891b6583cf33E177c68157c6972E9847487904,"7,036",
