Address,opAirdropScore,TokenBalanceGIV,TokenBalanceOP,EthDeposits,OptimismBridges,OpTreasuryPayouts,IsOptimismDelegate,InteractedWithContracts,CreatedGnosisSafe,OwnsGnosisSafe,ExecutedGnosisTx,isPartOfOPTreasury,IsGitcoinProjectOwner,GitcoinPassportScore,RegenPOAPs,OptimismTxCount,TotalScore
0x839395e20bbB182fa440d08F850E6c7A8f6F0780,1,138683.99,11450.00,false,1,2,1,1,false,1,1,false,1,0.00,2,65,1250
0x778549Eb292AC98A96a05E122967f22eFA003707,1,false,892.22,false,0,1,0,1,false,false,false,false,false,false,false,18,660
0x5b7575494b1e28974efe6EA71EC569b34958F72e,1,false,731.43,false,0,1,0,1,false,false,false,false,false,false,false,2,650
0xCF52f1402e73418BC5E6AccBD246EE8Dfb055605,1,false,555.93,false,2,1,0,1,false,false,false,false,false,false,false,6,660
0xe32BF4B7b9cB091b04e8500344a578d56b8f2593,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xDF290293C4A4d6eBe38Fd7085d7721041f927E0a,1,false,2621.84,false,0,1,0,1,false,false,false,false,false,false,false,9,650
0x1DBA1131000664b884A1Ba238464159892252D3a,1,false,1572.06,false,0,1,0,1,false,false,false,false,false,false,false,5,640
0x7d547666209755FB833f9B37EebEa38eBF513Abb,1,false,12.36,false,0,0,0,1,false,1,false,false,1,17.68,false,26,290
0xb2821C0DF0c414ff51D3e8033CBA26DF6AaC587b,false,false,false,false,0,0,0,1,false,false,false,false,1,false,false,8,40
0x852B8763ECB27bEdDC190d1792029bc17FD5439a,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xcf79C7EaEC5BDC1A9e32D099C5D6BdF67E4cF6e8,false,false,false,false,2,0,0,1,false,1,false,false,false,0.00,1,7,90
0xF8D1d34956cEa24718cf8687588D6FeDbc6d9AA6,1,false,1094.32,false,1,1,0,1,false,1,false,false,false,false,false,10,680
0xB22981bA3FE1De2325935c91a3B717168fB86714,1,false,false,false,1,1,0,1,false,1,1,false,1,4.84,3,43,750
0xeC952ED8e7c2AA466cac36fD611D2E87Df1243D7,1,false,850.75,false,0,1,0,1,false,false,false,false,false,false,1,17,660
0xb760FE1bbC4A2752aBCBb28291a57Cb0cA99fF44,false,false,false,false,0,0,0,1,false,1,false,false,false,16.23,false,2,70
0xF27838B0c3bA2eEe13B6eD3Fe13a90ef7b57a2cc,1,false,false,false,0,0,0,1,false,false,false,false,false,false,false,3,230
0x625236038836CecC532664915BD0399647E7826b,1,false,827.76,false,0,1,0,false,false,false,false,false,false,false,false,false,630
0xf83775C95A00612D4CAc5053Dd484FfA81BaE0aD,1,false,59.73,false,0,1,0,1,false,false,false,false,false,false,false,10,650
0x763d7D362B59aeA3858a92a302e18cd41b1252d4,1,false,304.09,false,2,1,0,1,false,false,false,false,1,false,false,16,680
0x45602BFBA960277bF917C1b2007D1f03d7bd29e4,1,false,2018.03,false,1,1,0,false,false,false,false,false,false,false,false,false,630
0xa2ef65aEcecb83cd1bD3579A8669779099317952,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xf503017D7baF7FBC0fff7492b751025c6A78179b,1,false,3231.09,false,2,1,0,1,false,false,false,false,1,false,false,10,680
0x5c44E8982fa3C3239C6E3C5be2cc6663c7C9387E,1,false,false,false,0,1,0,1,false,false,false,false,false,false,false,8,630
0x62e4851e88bEC4f5c5EE3Dd347F2C601A18AF1aF,1,false,689.84,false,0,1,0,1,false,false,false,false,false,38.53,false,3,650
0x1d921dff757610FbDB0073479e12c0a07d382677,1,false,6.23,false,0,1,0,1,false,false,false,false,1,43.98,false,64,660
0xB3e43abf014cb2d8cF8dc3D8C2e62157E6093343,1,false,1746.19,false,0,1,0,false,false,false,false,false,false,false,false,false,630
0x00d18ca9782bE1CaEF611017c2Fbc1a39779A57C,1,100.00,0.58,false,1,1,0,1,1,1,1,false,false,47.60,1,22,710
0x9f2942fF27e40445d3CB2aAD90F84C3a03574F26,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,1,false,650
0x701d0ECB3BA780De7b2b36789aEC4493A426010a,1,false,2847.06,false,0,1,0,1,false,1,1,false,false,0.00,false,22,660
0xe5Ac570506fF6289146CC43626D6Af540Aa67241,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x05A1ff0a32bc24265BCB39499d0c5D9A6cb2011c,1,98655.30,1500.10,false,1,1,1,1,false,1,1,false,false,47.29,2,98,1250
0x56477ece3C6C96A2d2F11B7Eed0D757b10AFB6a6,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x66dF5A7715C5D4AfbBFA52435c66aa20733be0d1,1,false,false,false,0,2,0,1,false,false,false,false,false,false,false,29,640
0xaa79B87DC8B046A5E4f7D03F1562D7fe5BF98737,false,false,false,false,0,0,0,1,false,false,false,false,false,0.00,1,4,50
0x8aA27E90E139d5AB5704df69429341cbCb2d2464,false,false,false,false,0,0,0,false,false,1,1,false,false,false,2,false,70
0x37Ec0203C1Cc3CB574c4144d490F770b86e3b557,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x9194b1713A8E07Bc47B90Fb7937E28e09b6cd100,1,false,false,false,0,1,0,1,false,false,false,false,false,0.00,false,7,640
0xfF6d6a7718A234A84f740480Dbb07f6c09cF1cD5,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,630
0x536c7E8F18D09d04697E0d2624b44bBA575388c2,false,false,2.48,false,0,0,0,1,false,false,false,false,false,false,false,26,40
0xAa01DeC5307CF17F20881A3286dcaA062578cea7,1,false,false,false,1,1,0,1,false,false,false,false,false,14.85,false,28,670
0x99272DB5353e13c18b711D99d3a8F36ba459f747,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0xC46c67Bb7E84490D7EbdD0b8ecDaca68Cf3823F4,1,107828.12,734.95,false,0,1,0,1,false,1,1,false,1,0.69,3,23,760
0x85eD40DbCa94B5BC73c6C7EC7f4eCaaD04A03a22,1,false,582.84,false,0,1,0,1,false,false,false,false,false,false,false,2,650
0x45e036dA221032D814A8bF0EF46943f83E95b409,1,false,732.84,false,0,1,0,1,false,false,false,false,false,false,false,7,640
0x5D28FE1e9F895464aab52287d85Ebff32B351674,1,false,2.27,false,0,1,0,1,false,1,1,false,false,0.00,false,27,680
0x7944FC7Bd79B25E6fFe24921d88A1f36f22bE843,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0xc7b2f15b62F186DCc69F35CD9Ae833f6de6146ab,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x27c72e4BD23C910218d8f06C4a1742E06657c874,1,false,1080.68,false,0,1,0,1,false,false,false,false,false,false,false,2,640
0x44DdF3e35Cd2D629d78674FF6BF5b953e2B069fe,1,false,1190.27,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0xA0f780d46F103DB59Cfc5ffeC8B25FfD36940EA7,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0x8Aac40061E258d6e45Fd13E214710ABDF356285a,1,false,555.93,false,0,1,0,false,false,false,false,false,false,false,false,false,620
0x01891b6583cf33E177c68157c6972E9847487904,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
0x85f9c38a44EfB45CeF47cBf510e6e18cDdf2a78A,1,false,727.90,false,1,1,0,1,false,false,false,false,false,false,false,2,650
0xCF0FA79c915F12592c352FFe35000fda5c96a158,1,false,555.93,false,0,0,0,1,false,false,false,false,false,false,false,1,240
0x9ac9c636404C8d46D9eb966d7179983Ba5a3941A,1,false,false,false,0,0,0,1,1,1,false,false,false,false,false,12,240
0xb9313E2cA88363f253312BD8Fc25eFe0C5D42c95,false,false,false,false,0,0,0,false,false,false,false,false,false,false,false,false,10
